country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,90.2,10.0,7.58,44.9,1610,9.44,56.2,5.82,553
Albania,16.6,28.0,6.55,48.6,9930,4.49,76.3,1.65,4090
Algeria,27.3,38.4,4.17,31.4,12900,16.10,76.5,2.89,4460
Angola,119.0,62.3,2.85,42.9,5900,22.40,60.1,6.16,3530
Antigua and Barbuda,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200
Argentina,14.5,18.9,8.10,16.0,18700,20.90,75.8,2.37,10300
Armenia,18.1,20.8,4.40,45.3,6700,7.77,73.3,1.69,3220
Australia,4.8,19.8,8.73,20.9,41400,1.16,82.0,1.93,51900
Austria,4.3,51.3,11.00,47.8,43200,0.87,80.5,1.44,46900
Azerbaijan,39.2,54.4,5.32,21.4,13700,11.70,69.4,1.89,5840
Bahamas,14.1,49.0,7.38,51.0,27400,1.21,72.9,1.90,23700
Bangladesh,46.2,18.5,3.35,25.1,2870,6.48,69.4,2.24,958
Barbados,15.6,57.8,6.95,51.4,19800,4.49,75.5,1.84,15300
Belarus,6.3,54.3,6.10,63.8,16000,46.20,71.4,1.47,6230
Belgium,4.3,83.0,10.80,81.6,41700,1.37,80.0,1.79,43400
Belize,17.0,59.8,4.73,66.9,7770,1.69,73.6,2.59,4660
Benin,96.1,19.0,4.08,31.0,1730,4.38,58.8,5.04,761
Bhutan,40.9,42.2,4.22,55.4,6260,8.40,67.0,2.34,2290
Bolivia,46.4,42.5,4.91,37.0,5500,6.91,66.3,3.17,2410
Bosnia and Herzegovina,8.0,33.0,9.64,55.5,9440,1.40,75.8,1.26,4290
Botswana,45.2,47.0,5.43,60.9,15000,8.51,46.6,2.71,7170
Brazil,18.9,11.1,8.30,11.6,14800,6.60,73.2,1.79,10300
Brunei,10.7,68.3,2.69,32.6,71100,0.50,78.0,1.97,38400
Bulgaria,12.4,57.3,7.09,64.9,15400,2.10,73.4,1.46,6550
Burkina Faso,98.5,17.1,6.37,26.8,1440,2.10,55.4,5.93,600
Burundi,102.0,6.4,8.15,29.9,790,9.37,53.6,6.30,267
Cambodia,36.2,54.3,5.77,62.7,2890,5.80,62.5,2.74,934
Cameroon,88.3,24.4,5.33,27.9,2860,1.27,54.4,4.86,1180
Canada,5.5,29.1,10.40,30.7,42000,0.69,81.3,1.63,42000
Cape Verde,25.8,34.6,4.78,60.9,5840,2.06,73.3,2.37,3350
Central African Republic,149.0,11.5,3.84,17.6,800,5.86,48.3,4.77,480
Chad,150.0,36.9,3.56,36.9,2060,7.13,49.6,6.59,1040
Chile,8.8,38.4,7.55,32.5,21000,1.41,78.8,1.84,14500
China,15.5,26.4,5.15,22.6,11400,2.44,74.3,1.60,6710
Colombia,18.2,15.9,6.11,18.0,12000,3.47,73.4,2.31,7560
Comoros,78.4,15.2,5.15,35.5,1420,4.26,62.0,4.72,790
Congo Dem. Rep.,116.0,27.0,5.95,32.9,710,10.80,48.5,6.23,410
Congo Rep.,47.0,89.2,2.36,49.3,4990,5.00,57.4,4.95,3240
Costa Rica,10.0,35.4,10.10,38.6,14000,5.12,79.4,1.92,9550
Cote d'Ivoire,108.0,42.8,5.45,38.9,3260,1.40,49.6,4.91,1200
Croatia,5.7,41.1,7.76,42.6,21000,1.02,77.3,1.47,13600
Cyprus,3.9,50.6,6.62,58.9,30100,3.19,79.4,1.44,27800
Czech Republic,3.6,66.4,7.72,64.1,26600,0.73,77.7,1.43,18600
Denmark,3.8,52.4,10.60,46.8,44300,1.75,79.3,1.74,56300
Djibouti,73.4,37.6,6.61,48.6,3090,4.00,61.0,3.43,1430
Dominica,11.6,37.9,5.76,53.6,12600,1.78,73.4,2.06,7130
Dominican Republic,27.0,23.9,5.35,34.3,10800,5.46,72.9,2.53,5470
Ecuador,21.1,30.7,6.30,32.6,10200,5.20,75.4,2.57,5310
Egypt,23.3,20.8,4.86,22.0,10400,11.30,70.5,2.83,2970
El Salvador,18.4,25.6,6.83,43.2,7560,1.93,72.0,2.27,3670
Equatorial Guinea,95.3,76.4,3.55,56.9,25400,5.00,51.4,5.04,20600
Eritrea,55.0,4.1,2.63,17.0,1030,12.30,62.2,4.37,450
Estonia,4.4,86.4,5.86,85.6,23000,3.40,75.6,1.56,14900
Ethiopia,68.0,13.5,4.89,30.1,1140,13.50,61.5,4.59,400
Fiji,22.4,53.1,3.93,67.4,7760,7.26,69.2,2.62,4450
Finland,2.8,40.7,8.92,39.0,38700,1.10,80.1,1.75,45500
France,4.2,27.5,11.70,29.0,38300,1.33,81.5,1.99,40600
